MAKB,MATC,MABACSI,NGAYHENTAIKHAM
63419,14151,163,2024-09-17
63420,6546,197,2024-02-26
63421,27403,111,2025-10-13
63422,8616,54,2025-09-05
63423,31814,125,2024-08-27
63424,32566,175,2024-03-23
63425,17119,148,2024-10-28
63426,25779,110,2025-03-16
63427,32241,28,2025-07-16
63428,39393,2,2025-12-12
63429,30191,116,2024-04-13
63430,12126,18,2024-09-16
63431,27231,191,2024-09-05
63432,28263,149,2025-05-25
63433,11857,104,2025-07-27
63434,4627,43,2025-07-21
63435,30065,130,2025-06-29
63436,36361,70,2025-05-22
63437,44721,198,2025-01-05
63438,20980,111,2024-04-13
63439,39778,143,2024-12-05
63440,7221,182,2025-07-11
63441,32382,117,2024-03-11
63442,29162,3,2025-04-14
63443,29215,145,2025-10-01
63444,20068,32,2024-10-10
63445,37663,36,2025-06-22
63446,30192,186,2024-02-26
63447,35817,47,2024-03-20
63448,26542,133,2025-06-11
63449,33348,141,2025-06-22
63450,30389,158,2025-08-11
63451,22573,78,2025-07-10
63452,25399,87,2024-03-20
63453,18556,7,2025-12-24
63454,12105,165,2024-07-02
63455,25936,98,2025-09-30
63456,42486,44,2024-10-24
63457,28597,79,2024-09-01
63458,26440,169,2025-04-08
63459,38394,69,2025-06-15
63460,9959,90,2025-03-10
63461,39159,186,2024-11-08
63462,9517,32,2025-08-09
63463,36409,118,2024-02-10
63464,24776,179,2024-03-14
63465,26599,124,2024-08-19
63466,39674,61,2024-10-12
63467,28480,151,2024-01-01
63468,37416,125,2024-11-13
63469,9911,65,2025-02-16
63470,11102,158,2025-08-21
63471,43282,199,2024-06-26
63472,22476,73,2024-08-27
63473,35597,97,2024-11-03
63474,14987,112,2024-06-16
63475,42659,56,2024-03-15
63476,19826,81,2025-01-17
63477,16546,71,2025-08-01
63478,19376,181,2024-11-12
63479,11852,11,2024-03-14
63480,38794,96,2024-12-23
63481,7510,65,2025-02-24
63482,19433,107,2025-07-09
63483,10091,132,2024-01-05
63484,36202,91,2025-10-09
63485,42869,46,2025-05-23
63486,20564,149,2025-10-26
63487,15957,116,2025-11-08
63488,24519,4,2025-02-22
63489,26795,79,2025-09-04
63490,857,100,2024-09-25
63491,26645,84,2024-12-28
63492,12885,50,2024-08-10
63493,18146,76,2024-03-22
63494,44823,80,2024-08-20
63495,43738,37,2024-10-10
63496,40792,18,2025-07-01
63497,44104,3,2025-08-23
63498,34176,18,2025-12-17
63499,33333,89,2025-03-09
63500,25082,68,2025-05-03
63501,29842,31,2024-05-13
63502,23904,187,2024-08-16
63503,36646,60,2025-09-18
63504,17581,199,2024-05-16
63505,12753,117,2024-01-06
63506,41816,55,2024-08-04
63507,35498,155,2025-06-06
63508,27443,178,2025-03-24
63509,29376,83,2025-01-16
63510,13707,35,2024-04-10
63511,452,86,2024-06-03
63512,25642,93,2025-09-21
63513,4751,184,2025-01-08
63514,42360,101,2024-05-03
63515,2378,176,2024-09-15
63516,37594,58,2025-09-24
63517,15091,75,2025-03-13
63518,39917,27,2025-02-08
63519,40848,166,2024-04-02
63520,10292,110,2024-03-30
63521,38212,48,2024-09-12
63522,19507,193,2024-03-22
63523,17112,87,2025-05-25
63524,21386,148,2024-02-04
63525,16491,53,2025-11-02
63526,30419,87,2024-09-06
63527,6545,59,2024-12-23
63528,3130,121,2025-01-13
63529,7362,180,2024-10-09
63530,32292,182,2024-11-30
63531,19048,67,2024-03-01
63532,39894,160,2024-04-08
63533,19432,161,2024-08-18
63534,20023,88,2024-12-21
63535,42058,80,2024-05-18
63536,37304,78,2024-04-07
63537,1849,8,2024-12-23
63538,41911,68,2025-05-09
63539,25137,63,2024-02-08
63540,39687,158,2025-02-18
63541,36288,1,2025-05-06
63542,38054,138,2024-08-21
63543,18413,18,2025-06-02
63544,6018,112,2025-03-14
63545,33125,116,2025-04-17
63546,28421,84,2025-10-15
63547,35224,172,2024-08-13
63548,8981,147,2025-07-06
63549,27223,44,2024-11-27
63550,9048,19,2024-12-19
63551,12785,184,2024-12-03
63552,41691,75,2025-06-01
63553,7704,104,2025-01-03
63554,21998,163,2025-05-06
63555,5074,128,2024-02-28
63556,31068,15,2024-09-08
63557,38498,160,2025-10-12
63558,38755,118,2025-04-25
63559,19237,10,2025-07-15
63560,253,4,2025-05-13
63561,44831,56,2024-04-21
63562,19740,165,2024-07-12
63563,15667,97,2024-03-11
63564,3582,90,2024-08-30
63565,257,196,2024-05-30
63566,40207,129,2025-11-07
63567,3426,29,2025-12-22
63568,15727,89,2024-07-07
63569,40192,53,2025-08-07
63570,33652,10,2024-03-04
63571,12316,197,2025-09-10
63572,17603,54,2024-01-29
63573,25634,95,2025-04-09
63574,23852,139,2025-03-04
63575,31758,183,2024-09-12
63576,22913,77,2025-07-23
63577,17618,186,2024-11-22
63578,7516,157,2024-12-05
63579,5221,167,2024-05-18
63580,37769,65,2025-08-08
63581,24827,23,2025-12-27
63582,22617,134,2024-10-19
63583,20248,28,2024-06-03
63584,41229,152,2025-02-24
63585,151,43,2024-05-16
63586,26761,10,2025-01-13
63587,16843,115,2024-04-14
63588,10094,64,2025-07-04
63589,720,117,2025-05-14
63590,27517,4,2024-01-06
63591,42433,57,2024-04-06
63592,397,50,2025-10-03
63593,11458,165,2025-11-13
63594,3972,164,2024-07-17
63595,23778,187,2025-07-22
63596,1118,35,2025-02-24
63597,33860,195,2024-03-02
63598,21937,150,2025-04-22
63599,3011,20,2024-09-28
63600,40675,142,2025-10-14
63601,28754,77,2025-10-11
63602,44342,170,2024-03-20
63603,18372,98,2025-10-26
63604,18258,177,2024-09-24
63605,25346,167,2025-09-13
63606,23139,179,2024-10-10
63607,6693,13,2024-07-31
63608,24961,137,2024-01-04
63609,8428,63,2024-09-06
63610,40947,44,2025-01-17
63611,35492,191,2024-06-04
63612,28908,80,2024-09-05
63613,41450,118,2024-03-20
63614,39439,112,2024-12-05
63615,15390,19,2025-01-22
63616,40090,169,2024-10-16
63617,7500,46,2025-06-11
63618,25921,149,2024-10-19
63619,24417,138,2025-12-01
63620,10921,80,2025-10-02
63621,23119,99,2024-08-28
63622,19085,11,2025-11-21
63623,25042,198,2025-09-12
63624,36228,167,2025-10-01
63625,24211,170,2025-12-01
63626,26744,26,2024-09-27
63627,5190,106,2024-07-06
63628,39907,64,2024-08-24
63629,38382,165,2025-04-29
63630,26224,55,2025-05-20
63631,23757,34,2024-07-21
63632,33928,197,2024-08-16
63633,331,60,2025-06-26
63634,12551,149,2024-09-03
63635,1906,32,2025-03-27
63636,9574,92,2024-08-26
63637,35695,41,2024-12-26
63638,22389,160,2024-01-24
63639,17108,182,2025-12-24
63640,4753,120,2024-03-06
63641,6633,4,2024-03-07
63642,43347,43,2024-03-05
63643,40545,140,2024-11-24
63644,11048,149,2024-04-23
63645,40301,82,2024-12-13
63646,14730,57,2025-06-26
63647,3250,105,2025-09-16
63648,40402,24,2025-01-15
63649,13367,157,2024-08-24
63650,13578,131,2025-08-20
63651,32797,81,2025-06-04
63652,19882,103,2024-02-16
63653,1783,121,2025-04-02
63654,1995,77,2024-12-04
63655,14255,155,2024-10-25
63656,27830,49,2025-11-17
63657,43406,13,2025-10-26
63658,6519,141,2025-09-10
63659,16117,30,2024-08-20
63660,27375,83,2025-12-11
63661,32723,82,2024-12-14
63662,40742,106,2025-09-24
63663,16538,59,2024-02-24
63664,13869,200,2025-04-26
63665,5220,192,2025-10-06
63666,6832,49,2024-07-30
63667,31932,49,2024-05-30
63668,20794,194,2025-08-09
63669,22753,174,2024-01-30
63670,1269,131,2025-05-05
63671,39216,193,2025-03-16
63672,1339,63,2024-10-03
63673,19935,64,2025-02-28
63674,8433,194,2025-12-28
63675,36917,52,2024-07-31
63676,15935,1,2025-01-12
63677,32219,33,2025-03-31
63678,1482,124,2024-04-14
63679,17743,43,2024-08-06
63680,43142,25,2024-04-12
63681,256,122,2025-05-16
63682,25437,184,2025-05-06
63683,3026,15,2025-04-29
63684,15189,63,2025-11-25
63685,34055,6,2024-01-23
63686,23531,115,2024-03-20
63687,31753,45,2025-01-11
63688,41862,124,2024-06-05
63689,6299,57,2025-12-30
63690,35254,38,2024-05-28
63691,34169,148,2025-09-19
63692,5113,23,2024-01-28
63693,43913,74,2025-04-11
63694,39115,73,2025-06-29
63695,28656,152,2025-03-29
63696,15563,188,2025-03-21
63697,28882,85,2025-11-25
63698,12263,89,2024-06-07
63699,31851,2,2024-07-06
63700,20746,49,2024-06-15
63701,20100,23,2024-09-06
63702,12128,163,2024-03-22
63703,22050,24,2025-03-25
63704,5110,117,2024-12-17
63705,32925,147,2025-06-22
63706,17220,129,2024-01-31
63707,445,112,2025-11-25
63708,27739,15,2025-04-02
63709,39874,91,2024-12-26
63710,15945,195,2025-01-14
63711,2786,47,2025-10-04
63712,35215,178,2025-01-18
63713,43311,164,2025-03-12
63714,6081,184,2025-08-07
63715,38162,150,2024-05-10
63716,38807,11,2025-07-07
63717,12818,173,2025-07-18
63718,28961,5,2025-05-30
63719,10692,97,2024-11-12
63720,3983,110,2025-09-30
63721,19391,8,2025-07-19
63722,16012,3,2024-12-09
63723,6026,178,2024-06-17
63724,37150,27,2025-01-08
63725,9450,145,2025-07-05
63726,11765,190,2025-03-15
63727,40943,47,2025-06-01
63728,14189,84,2025-11-08
63729,7223,86,2025-09-29
63730,22995,69,2025-02-20
63731,41959,36,2024-06-23
63732,33683,55,2025-12-14
63733,13714,174,2025-12-20
63734,30341,139,2024-01-14
63735,36236,67,2024-08-16
63736,29177,45,2025-01-13
63737,7530,111,2024-01-01
63738,40057,105,2024-09-21
63739,17311,31,2024-03-28
63740,13201,28,2024-01-04
63741,25017,181,2025-09-09
63742,1878,115,2024-12-03
63743,35286,193,2024-06-20
63744,13703,134,2024-08-14
63745,41818,43,2025-02-27
63746,21993,190,2025-01-29
63747,13139,124,2025-10-25
63748,20103,129,2025-06-08
63749,15490,36,2025-06-19
63750,13535,141,2025-01-26
63751,7263,115,2024-04-22
63752,4954,151,2024-01-12
63753,12373,153,2024-01-03
63754,33700,156,2024-11-20
63755,23278,27,2025-12-27
63756,2579,28,2024-07-31
63757,9932,63,2025-08-15
63758,39718,40,2025-10-04
63759,39522,176,2024-10-24
63760,35026,192,2024-09-03
63761,16468,80,2024-08-10
63762,39768,189,2025-09-19
63763,37756,179,2025-01-27
63764,33373,53,2025-12-16
63765,18994,44,2024-05-24
63766,18833,16,2024-02-14
63767,16559,99,2025-06-21
63768,8275,109,2024-04-21
63769,16240,104,2025-07-15
63770,10620,11,2025-05-30
63771,43891,109,2024-03-23
63772,4391,82,2024-06-15
63773,39091,110,2025-05-13
63774,25396,191,2024-07-08
63775,4237,113,2024-05-16
63776,14813,67,2024-11-30
63777,20309,20,2025-02-19
63778,39328,45,2025-12-20
63779,31012,35,2024-06-19
63780,24876,79,2025-10-18
63781,2853,138,2025-09-02
63782,33689,128,2024-03-31
63783,8882,84,2025-06-06
63784,8591,89,2025-05-25
63785,34144,114,2025-10-20
63786,34313,46,2024-01-07
63787,15408,107,2024-08-27
63788,10522,56,2025-12-05
63789,41415,146,2024-01-31
63790,2684,39,2024-12-10
63791,34814,49,2024-09-01
63792,42774,114,2025-01-08
63793,12122,112,2024-11-29
63794,16002,18,2025-03-11
63795,12950,106,2024-08-26
63796,36731,5,2024-08-24
63797,8724,103,2025-01-04
63798,25687,20,2024-11-30
63799,39010,133,2024-10-04
63800,41092,151,2024-02-05
63801,18381,82,2025-08-21
63802,15531,45,2024-03-11
63803,42802,169,2025-01-21
63804,37400,2,2024-04-08
63805,8019,167,2024-04-16
63806,6749,67,2024-07-06
63807,6891,41,2025-12-22
63808,22782,195,2025-02-06
63809,39464,198,2024-09-20
63810,44977,6,2024-10-02
63811,24488,75,2025-03-04
63812,8225,58,2024-12-18
63813,17701,165,2024-11-26
63814,17461,99,2025-01-30
63815,35039,107,2025-07-10
63816,33906,59,2025-10-11
63817,10854,78,2024-09-25
63818,33833,143,2025-01-26
63819,10604,160,2025-06-14
63820,26672,69,2025-03-14
63821,1064,22,2024-01-28
63822,27665,37,2024-05-30
63823,4307,141,2025-09-25
63824,155,21,2024-10-05
63825,22723,74,2025-09-25
63826,14181,66,2024-07-02
63827,20597,143,2024-05-30
63828,18860,43,2024-02-29
63829,35795,65,2024-10-13
63830,41115,135,2025-08-11
63831,32206,146,2024-10-23
63832,35622,37,2025-11-01
63833,921,182,2025-02-04
63834,5505,73,2025-03-28
63835,13350,115,2025-07-19
63836,31766,126,2024-05-21
63837,22749,140,2024-03-27
63838,40857,44,2024-02-08
63839,8688,84,2024-01-03
63840,34225,60,2024-10-18
63841,41236,19,2025-11-04
63842,34846,67,2025-04-30
63843,5632,79,2025-07-29
63844,33588,59,2024-05-09
63845,29343,81,2025-03-30
63846,11907,144,2025-12-02
63847,16203,164,2025-11-30
63848,4441,64,2025-05-24
63849,25647,180,2024-01-19
63850,38063,70,2024-05-27
63851,30623,183,2024-11-28
63852,26383,35,2025-11-21
63853,19024,30,2025-11-25
63854,4712,183,2025-04-11
63855,21805,125,2025-10-26
63856,27531,186,2024-12-18
63857,31351,178,2024-02-07
63858,3752,32,2025-06-28
63859,31478,62,2024-12-26
63860,32798,32,2025-09-21
63861,25061,174,2024-03-16
63862,44513,123,2024-05-14
63863,21477,159,2024-02-27
63864,37966,16,2025-11-02
63865,24195,76,2024-10-07
63866,6954,39,2024-04-21
63867,33931,161,2025-09-27
63868,30316,26,2024-08-09
63869,24498,144,2024-08-14
63870,15987,26,2025-10-24
63871,1061,39,2025-03-13
63872,19870,110,2025-01-29
63873,35207,75,2025-06-19
63874,43630,75,2024-12-01
63875,20034,111,2025-05-13
63876,31328,33,2024-08-05
63877,31197,122,2024-05-25
63878,5623,35,2025-06-20
63879,40693,180,2024-10-05
63880,27947,90,2025-09-09
63881,37125,98,2024-06-13
63882,30053,148,2024-11-25
63883,37525,139,2025-10-13
63884,11152,80,2025-11-02
63885,15748,83,2024-03-17
63886,38760,45,2024-06-21
63887,16069,147,2025-09-23
63888,6400,125,2024-08-22
63889,14491,110,2024-02-25
63890,38568,145,2024-12-09
63891,24376,171,2025-09-14
63892,26312,56,2025-01-12
63893,41233,63,2025-03-26
63894,17589,34,2025-12-19
63895,3742,67,2025-07-12
63896,31771,130,2025-12-11
63897,9716,18,2024-11-26
63898,620,109,2024-05-31
63899,20290,18,2024-06-27
63900,33005,52,2025-07-08
63901,14902,183,2025-12-18
63902,23132,66,2024-08-14
63903,42329,80,2024-10-10
63904,30356,35,2024-07-08
63905,27370,166,2024-10-23
63906,9042,138,2024-01-29
63907,29803,103,2025-10-22
63908,30827,67,2024-01-05
63909,7521,200,2025-09-23
63910,20731,106,2024-02-19
63911,12149,11,2025-04-11
63912,44541,101,2025-06-16
63913,2739,172,2025-02-01
63914,561,74,2024-09-05
63915,15463,10,2025-08-25
63916,23630,7,2024-01-31
63917,15011,26,2024-12-01
63918,6173,194,2025-05-14
63919,37461,151,2025-04-18
63920,8257,8,2025-11-05
63921,32090,3,2025-07-07
63922,21597,9,2024-03-31
63923,15652,45,2025-02-20
63924,39284,72,2024-06-03
63925,14981,97,2025-08-13
63926,29648,8,2024-02-01
63927,23335,173,2024-04-04
63928,1371,54,2025-08-08
63929,19467,70,2025-11-24
63930,42268,197,2025-03-17
63931,11529,143,2025-03-21
63932,29128,113,2025-10-11
63933,11532,96,2024-11-14
63934,42445,187,2025-05-29
63935,14595,25,2025-08-08
63936,4416,159,2024-09-05
63937,39416,115,2025-10-07
63938,37288,81,2025-06-30
63939,20704,102,2024-07-17
63940,874,141,2025-03-19
63941,30640,187,2025-11-13
63942,8404,101,2024-12-12
63943,18339,83,2025-11-25
63944,14785,10,2024-06-03
63945,43496,200,2025-10-07
63946,36297,62,2024-07-10
63947,4949,69,2025-11-04
63948,23298,45,2025-02-10
63949,16023,19,2024-04-11
63950,7553,102,2024-05-13
63951,296,182,2024-05-29
63952,15222,108,2025-03-25
63953,23160,155,2024-07-01
63954,35084,62,2025-08-18
63955,19553,82,2025-12-11
63956,38459,67,2025-12-18
63957,38451,160,2024-04-19
63958,38312,133,2024-12-05
63959,31287,9,2025-07-21
63960,2654,8,2024-04-26
63961,43706,165,2025-08-12
63962,37527,60,2024-08-03
63963,5976,64,2024-01-12
63964,42537,145,2024-03-22
63965,32762,111,2024-08-25
63966,683,126,2024-02-06
63967,22118,67,2025-09-12
63968,23350,24,2025-02-01
63969,1365,134,2025-10-07
63970,20527,146,2025-09-30
63971,2669,108,2025-01-10
63972,291,90,2024-10-22
63973,21433,134,2025-05-23
63974,25047,53,2024-04-17
63975,5754,197,2025-12-04
63976,29258,32,2025-10-02
63977,43471,128,2024-04-02
63978,9873,195,2024-10-01
63979,7525,170,2025-11-12
63980,20506,66,2024-07-20
63981,15762,137,2024-01-28
63982,25173,175,2025-04-10
63983,12733,35,2025-03-10
63984,26873,26,2024-07-18
63985,23656,110,2025-04-13
63986,40443,15,2024-07-06
63987,40166,31,2025-10-28
63988,18017,146,2024-02-05
63989,25552,144,2025-03-27
63990,20653,35,2025-03-31
63991,27981,51,2025-01-22
63992,41241,174,2025-06-30
63993,14332,42,2024-04-18
63994,17858,198,2025-03-09
63995,33034,92,2024-09-01
63996,6064,4,2024-11-22
63997,11612,25,2025-11-06
63998,35634,67,2025-02-10
63999,32114,42,2024-07-30
64000,13246,11,2024-01-19
64001,984,131,2024-11-27
64002,38810,71,2025-06-25
64003,7413,19,2025-11-15
64004,12295,146,2024-10-26
64005,44679,71,2025-10-28
64006,39349,185,2025-06-05
64007,15138,84,2025-09-28
64008,23193,21,2025-06-21
64009,9112,123,2025-03-05
64010,3214,19,2025-09-27
64011,41064,3,2025-03-12
64012,37321,138,2024-11-16
64013,33432,152,2025-05-31
64014,35245,116,2024-04-17
64015,6080,20,2025-12-11
64016,2292,159,2024-11-25
64017,22737,18,2025-01-07
64018,18704,73,2025-05-29
64019,13821,24,2024-08-29
64020,24620,14,2024-08-07
64021,5437,132,2024-11-23
64022,44304,101,2025-03-02
64023,19888,93,2025-11-30
64024,22715,194,2025-01-13
64025,31234,26,2024-03-17
64026,32080,26,2025-05-10
64027,23904,53,2024-05-02
64028,8063,113,2025-12-31
64029,16599,55,2024-02-12
64030,27450,3,2025-12-13
64031,9543,42,2024-08-27
64032,11899,127,2025-02-16
64033,7467,52,2025-01-22
64034,28484,154,2024-09-14
64035,15745,183,2024-07-25
64036,462,116,2024-01-31
64037,27074,173,2024-12-28
64038,41191,176,2024-11-29
64039,29310,149,2024-04-27
64040,34809,200,2025-08-18
64041,31066,77,2025-08-25
64042,21873,84,2025-06-05
64043,30019,82,2024-03-15
64044,11982,42,2025-07-29
64045,27509,163,2025-02-16
64046,3767,2,2024-01-30
64047,18465,17,2024-02-18
64048,4210,189,2025-04-19
64049,42015,169,2024-10-16
64050,16922,66,2025-10-09
64051,41730,33,2025-06-18
64052,25844,99,2025-05-05
64053,33875,40,2024-03-08
64054,33937,149,2025-02-24
64055,3282,74,2025-06-18
64056,6139,194,2024-04-12
64057,15247,46,2025-12-17
64058,20179,148,2024-02-20
64059,34331,106,2025-10-29
64060,43594,18,2025-05-22
64061,10551,158,2024-01-18
64062,17898,181,2025-10-11
64063,182,169,2025-03-12
64064,42189,200,2024-04-29
64065,4455,98,2025-01-07
64066,42358,116,2024-07-10
64067,41644,64,2024-09-15
64068,11905,112,2025-11-25
64069,20251,78,2025-07-14
64070,2022,48,2025-03-17
64071,3873,39,2025-09-18
64072,26085,67,2025-06-22
64073,9656,120,2025-11-19
64074,32593,173,2025-09-22
64075,27475,27,2025-02-13
64076,19915,169,2024-06-22
64077,1895,118,2025-10-30
64078,12171,100,2024-03-12
64079,20794,33,2024-01-02
64080,30597,96,2024-12-13
64081,26072,134,2025-06-19
64082,35203,157,2025-03-29
64083,13437,168,2024-03-24
64084,21348,169,2025-05-02
64085,3461,4,2024-05-25
64086,43993,49,2025-06-19
64087,13061,99,2024-11-18
64088,20853,178,2024-12-31
64089,18043,71,2024-09-27
64090,14765,128,2025-07-23
64091,32077,188,2025-07-05
64092,32724,24,2025-11-24
64093,34190,47,2025-09-30
64094,44718,104,2025-04-22
64095,34269,72,2025-08-18
64096,12972,119,2024-07-13
64097,31223,100,2025-05-12
64098,10683,196,2025-07-30
64099,44090,47,2024-04-12
64100,6897,37,2024-01-21
64101,42782,88,2024-12-21
64102,11140,170,2025-05-29
64103,20867,97,2024-07-24
64104,38641,167,2024-06-28
64105,40271,61,2025-03-24
64106,7155,138,2025-12-28
64107,11448,156,2024-05-10
64108,41672,170,2025-01-31
64109,34838,47,2025-01-05
64110,24403,178,2025-04-13
64111,38342,171,2025-10-15
64112,24734,56,2024-12-12
64113,43050,166,2024-10-19
64114,28679,123,2025-06-15
64115,44299,171,2025-11-23
64116,37883,70,2024-01-10
64117,3920,178,2024-07-13
64118,21516,134,2024-12-01
64119,39191,71,2025-01-11
64120,40254,6,2025-02-22
64121,12741,155,2025-10-12
64122,10296,94,2025-07-20
64123,2534,19,2025-07-28
64124,10750,1,2025-01-20
64125,14008,11,2024-02-08
64126,23553,195,2025-11-05
64127,6562,129,2025-03-30
64128,10433,154,2025-01-11
64129,5461,133,2024-07-21
64130,30297,87,2024-07-12
64131,33158,103,2025-03-02
64132,36015,161,2024-11-19
64133,7874,112,2025-08-30
64134,20454,23,2024-06-12
64135,32952,105,2024-06-17
64136,32184,19,2025-02-16
64137,38983,11,2025-07-15
64138,40986,99,2025-10-22
64139,14553,59,2024-03-26
64140,36318,33,2025-07-13
64141,36472,133,2024-07-04
64142,3170,197,2025-05-21
64143,13345,112,2025-08-29
64144,43021,17,2025-03-16
64145,14564,110,2025-12-08
64146,40170,66,2025-05-29
64147,4591,128,2025-04-12
64148,26942,157,2024-09-15
64149,8833,184,2025-12-12
64150,8917,104,2025-09-26
64151,15897,15,2024-06-26
64152,15603,93,2024-03-16
64153,10038,185,2025-11-04
64154,11963,195,2024-01-01
64155,33916,159,2024-03-06
64156,38459,113,2024-06-24
64157,17443,78,2024-06-23
64158,34383,101,2024-10-31
64159,7618,121,2025-07-11
64160,14771,95,2025-05-26
64161,30608,30,2024-05-28
64162,21789,35,2025-03-20
64163,5303,195,2024-07-05
64164,2510,96,2024-02-26
64165,32143,149,2025-02-26
64166,23634,176,2024-07-21
64167,23567,156,2025-03-06
64168,25419,90,2024-11-17
64169,3111,200,2024-03-04
64170,13719,70,2024-09-28
64171,36660,109,2025-07-13
64172,17221,58,2024-05-16
64173,5472,117,2024-10-08
64174,34259,58,2024-05-06
64175,9549,25,2024-09-02
64176,34359,11,2025-07-14
64177,13031,13,2025-06-11
64178,18921,106,2024-02-15
64179,27568,130,2024-02-11
64180,29393,117,2024-07-14
64181,10769,158,2025-02-22
64182,44920,46,2024-08-11
64183,19646,58,2025-04-29
64184,76,25,2025-09-03
64185,41694,94,2024-09-14
64186,6305,87,2025-03-30
64187,5237,62,2025-11-16
64188,9428,37,2025-03-03
64189,22390,112,2025-09-19
64190,27155,48,2025-08-03
64191,28111,96,2025-08-16
64192,36194,134,2024-05-14
64193,5793,22,2025-02-14
64194,29879,84,2025-09-10
64195,43266,87,2024-10-05
64196,27047,182,2025-02-23
64197,18379,147,2024-12-05
64198,8598,104,2024-03-19
64199,29025,91,2025-05-02
64200,1714,37,2025-02-12
64201,41053,155,2024-08-16
64202,37928,103,2024-09-25
64203,20713,115,2025-08-23
64204,16054,96,2024-09-01
64205,26809,198,2024-08-05
64206,30765,54,2024-03-11
64207,9896,73,2025-12-01
64208,24641,195,2024-08-19
64209,41707,19,2025-05-30
64210,24602,85,2024-04-18
64211,21878,15,2024-03-15
64212,20852,118,2024-10-17
64213,30425,131,2024-06-11
64214,12738,67,2024-01-21
64215,40887,126,2025-10-02
64216,39295,18,2024-04-10
64217,40676,34,2025-10-04
64218,2784,166,2024-06-03
64219,18443,103,2024-10-13
64220,28314,54,2024-02-15
64221,36202,182,2024-10-16
64222,39520,197,2024-01-19
64223,4623,72,2024-09-29
64224,44571,179,2024-05-09
64225,1288,127,2025-08-31
64226,25427,181,2025-11-01
64227,39023,93,2024-06-09
64228,36323,64,2024-09-24
64229,44499,63,2025-08-31
64230,2353,8,2025-08-07
64231,8959,63,2025-11-11
64232,28839,66,2025-09-03
64233,349,99,2025-12-26
64234,35101,120,2024-11-30
64235,31614,3,2024-01-06
64236,26146,78,2024-08-24
64237,26420,96,2024-05-20
64238,38214,48,2024-11-22
64239,37791,189,2025-01-20
64240,1550,106,2024-11-10
64241,44846,62,2025-06-03
64242,9529,193,2024-08-18
64243,10419,118,2025-04-03
64244,24362,164,2024-07-03
64245,13360,194,2025-04-11
64246,35438,38,2025-07-23
64247,11789,146,2025-02-02
64248,10465,72,2024-09-26
64249,23079,165,2024-09-26
64250,19314,173,2024-02-06
64251,39098,84,2025-08-20
64252,8215,33,2025-08-26
64253,27355,140,2025-09-05
64254,31398,143,2024-05-10
64255,340,23,2024-11-07
64256,14976,35,2024-03-13
64257,4822,48,2025-06-02
64258,33285,171,2025-12-03
64259,3439,151,2025-10-09
64260,42728,46,2025-11-29
64261,18103,144,2024-09-03
64262,2707,193,2025-03-22
64263,38295,113,2024-10-16
64264,724,134,2025-03-23
64265,30205,76,2024-03-17
64266,14651,102,2025-04-01
64267,13600,122,2025-01-11
64268,4047,187,2024-06-24
64269,9811,37,2025-09-26
64270,24826,73,2024-09-01
64271,19097,29,2025-10-07
64272,42768,141,2025-04-20
64273,24626,119,2025-02-07
64274,21454,179,2024-06-04
64275,17190,46,2025-04-01
64276,44334,73,2024-01-06
64277,14571,13,2024-11-14
64278,11220,120,2024-01-08
64279,24042,192,2025-09-01
64280,9167,135,2024-05-10
64281,31464,152,2024-08-27
64282,7409,128,2025-05-26
64283,2042,140,2025-06-14
64284,23195,176,2024-04-26
64285,18214,189,2024-04-19
64286,44865,88,2024-08-22
64287,16503,23,2025-09-03
64288,3993,140,2025-04-22
64289,40973,90,2025-06-18
64290,25021,199,2025-01-28
64291,8045,135,2024-09-07
64292,22495,99,2024-11-08
64293,12398,68,2025-10-02
64294,12184,108,2025-09-29
64295,42072,81,2025-09-23
64296,35127,18,2025-03-20
64297,42455,10,2025-04-01
64298,32198,179,2024-10-02
64299,19463,119,2024-02-29
64300,15265,176,2025-03-09
64301,10990,35,2024-09-14
64302,43863,104,2025-02-25
64303,4589,171,2024-03-08
64304,2320,136,2025-10-14
64305,164,189,2025-08-16
64306,27790,144,2024-12-02
64307,7693,42,2024-04-02
64308,35506,63,2024-03-21
64309,26046,185,2025-03-18
64310,39154,80,2025-11-05
64311,8768,32,2025-01-30
64312,42296,16,2025-09-03
64313,10210,99,2024-02-11
64314,20933,12,2024-08-19
64315,17725,128,2024-07-10
64316,36189,56,2025-09-04
64317,20155,43,2024-03-02
64318,35215,145,2024-05-31
64319,28159,77,2025-10-26
64320,12138,8,2024-06-06
64321,31321,131,2024-05-23
64322,41772,129,2025-10-09
64323,15046,126,2024-07-21
64324,23890,16,2024-09-25
64325,23627,134,2025-06-29
64326,13116,152,2025-10-20
64327,44991,139,2024-08-07
64328,40887,125,2025-02-21
64329,34752,37,2024-03-08
64330,4541,88,2024-05-22
64331,16691,167,2024-06-08
64332,33837,48,2024-10-26
64333,31885,160,2025-06-13
64334,1119,76,2024-03-14
64335,11217,141,2025-05-06
64336,8253,97,2025-07-31
64337,43884,18,2025-11-21
64338,22043,17,2025-01-27
64339,9290,124,2025-10-16
64340,20276,30,2024-12-05
64341,28614,65,2024-08-29
64342,24836,180,2024-07-18
64343,5869,146,2024-03-19
64344,10088,122,2025-04-13
64345,2593,13,2024-09-07
64346,15344,49,2024-02-27
64347,31031,187,2024-03-22
64348,11899,66,2024-11-26
64349,43402,113,2024-12-26
64350,23014,147,2024-06-22
64351,18812,3,2024-03-11
